								
					Pilih Cluster>>		 -   	
Brand	Sub Brand AS	Brand Group AS	Description	Barcode (Pieces)	Harga PTT/Sebelum PPN	Kuantiti per Karton/Dus	Harga PPN	Harga Jual ke Konsumen yg Disarankan
								
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Body Serum Premium Fragrance Velvet Romance 180ml	8850029040530	 40.879 	24	 45.376 	 55.500 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Body Serum Premium Fragrance Miracle Sweet 80ml	8850029040516	 40.879 	24	 45.376 	 55.500 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Super 10 Youth Protect Body Serum 180ml	8850029040646	 46.486 	24	 51.599 	 -   
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Super 10 Youth Protect Body Serum 320ml	8850029040639	 72.072 	12	 80.000 	 -   
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Radiant & Smooth Cream 50ml	8999777818579	 15.750 	48	 17.483 	 20.501 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Radiant & Smooth Cream 100ml	8999777818586	 27.410 	36	 30.425 	 35.700 
Nivea	NCRM Cremes	Creme	NIVEA Creme Tin 60ml	8850029801025	 20.900 	48	 23.199 	 25.800 
Nivea	NCRM Cremes	Soft	NIVEA Soft 50ml	8999777890544	 14.090 	48	 15.640 	 19.500 
Nivea	NCRM Cremes	Soft	NIVEA Soft 100ml	8999777890551	 22.970 	36	 25.497 	 32.500 
Nivea	Nivea Face Care	NFC Cleanse	NIVEA Sparkling Bright Facial Foam 100ml	8999777867249	 24.780 	24	 27.506 	 34.000 
Nivea	Nivea Face Care	NFC Cleanse	NIVEA Hokkaido Rose Whip Facial Foam 100ml	4005900691255	 47.570 	24	 52.803 	 63.700 
Nivea	Nivea Face Care	NFC Cleanse	NIVEA Eye Make Up Remover Double Effect 125ml	4005900102300	 61.690 	12	 68.476 	 82.501 
Nivea	Nivea Face Care	NFC Cleanse	NIVEA MicellAIR Pearl Bright 125ml	8999777011826	 25.980 	30	 28.838 	 36.500 
Nivea	Nivea Face Care	NFC Cleanse	NIVEA MicellAIR Pearl White 200ml	8999777010522	 45.070 	12	 50.028 	 57.500 
Nivea	Nivea Face Care	NFC Cleanse	NIVEA MicellAIR Pearl Bright 400ml	8999777017910	 72.380 	6	 80.342 	 100.500 
Nivea	Nivea Face Care	NFC Cleanse	NIVEA MicellAIR Oil & Acne Care 125ml	8999777017507	 25.980 	30	 28.838 	 36.500 
Nivea	Nivea Face Care	NFC Cleanse	NIVEA MicellAIR Oil & Acne Care 400ml	8999777017941	 72.380 	6	 80.342 	 100.500 
Nivea	Nivea Face Care	NFC Cleanse	NIVEA Micellar Water Rose Care Mono-phase 400ml	4005900811714	 74.870 	10	 83.106 	 100.500 
Nivea	Nivea Face Care	NFC Cleanse	NIVEA Micellar Water Rose Care Bi-phase 100ml	42428961	 42.110 	12	 46.742 	 57.000 
Nivea	Nivea Face Care	NFC Cleanse	NIVEA Micellar Water Rose Care Bi-phase 400ml	4005900729934	 95.260 	12	 105.739 	 130.000 
Nivea	Nivea Face Care	NFC Care	NIVEA Luminous 630 Spotclear Intensive Treatment Serum 30ml	8850029036359	 151.150 	12	 167.777 	 335.000 
Nivea	Nivea Face Care	NFC Care	NIVEA Luminous 630 Spotclear Sun Protect SPF 50 PA+++ 40ml	8850029036397	 105.244 	12	 116.821 	 230.000 
Nivea	Nivea Face Care	NFC Care	NIVEA Luminous 630 Spotclear Treatment Series	8850029037905	 205.585 	12	 228.199 	 460.000 
Nivea	Nivea Sun	Sun	NIVEA SUN Extra Protect Daily Glow Essence Serum SPF50 180ml	8999777018771	 95.841 	12	 106.384 	 125.000 
